FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 ModIx	 DTI  	 AnovaP	 DDI  	 VarTerm	 MSgrp	 MSerror	 MaxX 	 MinX 	
m60125c4r3.htb	 180.0	  0.03	 2.000	  0.00	 -8.00	 30.00	   0.0	 270.60	 20.71	 155.10	 10.31	 16.03	  3.88	 0.489	 0.618	 0.23794640	 0.504	  0.640	      0.547	      0.410	 330.00	  0.00	
m60125c4r3.htb	 180.0	  0.03	 2.000	  0.00	 -8.00	 30.00	   1.0	 270.60	 21.39	 52.80	 10.58	 16.33	  3.88	 0.474	 0.617	 0.07128490	 0.502	  0.629	      0.732	      0.396	 330.00	  0.00	
m60201c2r2.htb	  60.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   0.0	 270.60	 22.32	 178.20	 16.64	 20.18	  7.55	 0.253	 0.384	 0.63845927	 0.406	  0.476	      0.182	      0.227	 330.00	  0.00	
m60201c2r2.htb	  60.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   1.0	 89.10	 24.89	 135.30	 18.82	 21.25	  7.55	 0.227	 0.350	 0.36330229	 0.432	  0.395	      0.174	      0.156	 330.00	  0.00	
m60201c3r6.htb	 270.0	  0.03	 2.000	  8.00	 -15.00	 50.00	   0.0	  0.00	 24.54	 148.50	 13.19	 20.47	  3.86	 0.459	 0.549	 0.36126092	 0.509	  0.637	      0.472	      0.406	 330.00	  0.00	
m60201c3r6.htb	 270.0	  0.03	 2.000	  8.00	 -15.00	 50.00	   1.0	 330.00	 25.54	 148.50	 15.74	 20.60	  3.86	 0.383	 0.452	 0.56428234	 0.441	  0.730	      0.472	      0.532	 330.00	  0.00	
m60201c4r6.htb	 270.0	  0.03	 2.000	  8.00	 -18.00	 30.00	   0.0	 89.10	 11.74	 52.80	  4.17	  7.26	  4.39	 0.612	 1.031	 0.84783107	 0.340	  1.106	      0.691	      1.222	 330.00	  0.00	
m60201c4r6.htb	 270.0	  0.03	 2.000	  8.00	 -18.00	 30.00	   1.0	 277.20	 11.80	 23.10	  3.78	  7.75	  4.39	 0.652	 1.083	 0.82801640	 0.343	  1.178	      0.819	      1.389	 330.00	  0.00	
m60201c5r6.htb	  30.0	  0.03	 2.000	 10.00	 -10.00	 50.00	   0.0	 270.60	 31.99	 313.50	 16.87	 23.26	  3.98	 0.374	 0.540	 0.18760734	 0.469	  0.691	      0.688	      0.477	 330.00	  0.00	
m60201c5r6.htb	  30.0	  0.03	 2.000	 10.00	 -10.00	 50.00	   1.0	 270.60	 30.05	 316.80	 13.40	 22.74	  3.98	 0.397	 0.639	 0.10124357	 0.480	  0.696	      0.829	      0.485	 330.00	  0.00	
m60203c1r2.htb	  30.0	  0.03	 2.000	 -2.00	 -12.00	 50.00	   0.0	  0.00	 15.07	 244.20	  7.80	 10.69	  3.28	 0.475	 0.617	 0.00050125	 0.521	  0.480	      0.775	      0.230	 330.00	  0.00	
m60203c1r2.htb	  30.0	  0.03	 2.000	 -2.00	 -12.00	 50.00	   1.0	 79.20	 12.91	 310.20	  8.05	 10.76	  3.28	 0.333	 0.505	 0.00024266	 0.471	  0.359	      0.463	      0.129	 330.00	  0.00	
m60203c2r5.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 184.80	 17.96	 66.00	 12.35	 14.73	  8.56	 0.302	 0.597	 0.00013547	 0.487	  0.355	      0.477	      0.126	 330.00	  0.00	
m60203c2r5.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   1.0	  9.90	 17.78	 59.40	 12.27	 15.02	  8.56	 0.276	 0.597	 0.00029135	 0.490	  0.320	      0.361	      0.102	 330.00	  0.00	
m60203c3r2.htb	   0.0	  0.03	 2.000	  5.00	 -20.00	 40.00	   0.0	 181.50	 12.05	 313.50	  7.43	 10.10	  3.63	 0.343	 0.549	 0.10534121	 0.406	  0.496	      0.396	      0.246	 330.00	  0.00	
m60203c3r2.htb	   0.0	  0.03	 2.000	  5.00	 -20.00	 40.00	   1.0	 181.50	 12.59	 29.70	  8.86	 10.54	  3.63	 0.296	 0.417	 0.21871960	 0.352	  0.536	      0.382	      0.288	 330.00	  0.00	
m60207c1r2.htb	  30.0	  0.03	 2.000	 -8.00	 -12.00	 50.00	   0.0	 303.60	 13.70	 56.10	  5.26	  9.97	  2.59	 0.604	 0.759	 0.00000000	 0.610	  0.453	      1.781	      0.205	 330.00	  0.00	
m60207c1r2.htb	  30.0	  0.03	 2.000	 -8.00	 -12.00	 50.00	   1.0	 135.30	 16.11	 56.10	  6.78	 11.15	  2.59	 0.559	 0.690	 0.00000000	 0.608	  0.423	      2.148	      0.179	 330.00	  0.00	
m60207c2r2.htb	 300.0	  0.03	 4.000	  0.00	 -2.00	 50.00	   0.0	 280.50	 18.88	 240.90	 16.77	 17.82	  8.91	 0.104	 0.211	 0.97426162	 0.193	  0.477	      0.078	      0.228	 330.00	  0.00	
m60207c2r2.htb	 300.0	  0.03	 4.000	  0.00	 -2.00	 50.00	   1.0	 306.90	 20.64	 330.00	 16.67	 18.13	  8.91	 0.179	 0.339	 0.22018300	 0.359	  0.384	      0.196	      0.148	 330.00	  0.00	
m60207c3r2.htb	 300.0	  0.03	 4.000	 -5.00	 -5.00	 50.00	   0.0	 46.20	 22.85	 267.30	 11.81	 17.08	  7.31	 0.449	 0.711	 0.00001346	 0.509	  0.588	      1.562	      0.346	 330.00	  0.00	
m60207c3r2.htb	 300.0	  0.03	 4.000	 -5.00	 -5.00	 50.00	   1.0	 310.20	 22.78	 270.60	 15.41	 19.04	  7.31	 0.282	 0.477	 0.06019805	 0.378	  0.593	      0.638	      0.352	 330.00	  0.00	
m60207c4r2.htb	  30.0	  0.03	 2.000	 10.00	 10.00	 40.00	   0.0	 316.80	 14.73	 260.70	  9.10	 12.59	  5.57	 0.361	 0.615	 0.05761510	 0.401	  0.564	      0.582	      0.318	 330.00	  0.00	
m60207c4r2.htb	  30.0	  0.03	 2.000	 10.00	 10.00	 40.00	   1.0	 13.20	 17.23	 207.90	 10.12	 14.11	  5.57	 0.410	 0.610	 0.03289611	 0.453	  0.589	      0.701	      0.346	 330.00	  0.00	
m60301c1r4.htb	  30.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 310.20	  9.17	  0.00	  7.11	  8.34	  1.24	 0.214	 0.260	 0.69957762	 0.333	  0.342	      0.086	      0.117	 330.00	  0.00	
m60301c1r4.htb	  30.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 303.60	  8.72	 95.70	  6.23	  7.63	  1.24	 0.280	 0.333	 0.03117226	 0.419	  0.314	      0.201	      0.098	 330.00	  0.00	
m60301c2r4.htb	  30.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 75.90	 16.25	  9.90	 14.16	 15.21	  3.68	 0.114	 0.167	 0.99992500	 0.140	  0.989	      0.093	      0.977	 330.00	  0.00	
m60301c2r4.htb	  30.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   1.0	 181.50	 16.02	 16.50	 12.73	 14.75	  3.68	 0.171	 0.267	 0.99998153	 0.148	  1.098	      0.087	      1.205	 330.00	  0.00	
m60301c3r4.htb	  30.0	  0.03	 4.000	 10.00	 -5.00	 40.00	   0.0	 237.60	 22.42	 273.90	 18.86	 20.80	  7.55	 0.151	 0.240	 0.76720361	 0.347	  0.372	      0.091	      0.138	 330.00	  0.00	
m60301c3r4.htb	  30.0	  0.03	 4.000	 10.00	 -5.00	 40.00	   1.0	 211.20	 18.92	 118.80	 14.56	 17.25	  7.55	 0.228	 0.383	 0.57862602	 0.391	  0.412	      0.147	      0.170	 330.00	  0.00	
m60301c4r4.htb	  30.0	  0.03	 4.000	 20.00	 -10.00	 50.00	   0.0	 178.20	 20.53	 330.00	 14.73	 18.01	 11.14	 0.282	 0.618	 0.99943139	 0.241	  1.441	      0.284	      2.078	 330.00	  0.00	
m60301c4r4.htb	  30.0	  0.03	 4.000	 20.00	 -10.00	 50.00	   1.0	 313.50	 25.18	 13.20	 13.75	 17.24	 11.14	 0.378	 0.814	 0.98411686	 0.291	  1.386	      0.561	      1.920	 330.00	  0.00	
m60302c1r4.htb	  30.0	  0.03	 2.000	  0.00	 -2.00	 50.00	   0.0	  0.00	 10.45	 92.40	  5.25	  7.77	  2.09	 0.495	 0.621	 0.00000130	 0.533	  0.414	      0.904	      0.172	 330.00	  0.00	
m60302c1r4.htb	  30.0	  0.03	 2.000	  0.00	 -2.00	 50.00	   1.0	 330.00	  8.21	 95.70	  4.39	  5.96	  2.09	 0.461	 0.624	 0.00070067	 0.499	  0.378	      0.466	      0.143	 330.00	  0.00	
m60302c2r4.htb	  30.0	  0.05	 4.000	  0.00	 -10.00	 40.00	   0.0	 330.00	 21.64	 244.20	 10.69	 15.48	  2.32	 0.494	 0.567	 0.43312914	 0.566	  0.532	      0.308	      0.283	 330.00	  0.00	
m60302c2r4.htb	  30.0	  0.05	 4.000	  0.00	 -10.00	 40.00	   1.0	 13.20	 28.00	 198.00	 11.63	 18.92	  2.32	 0.523	 0.637	 0.04529316	 0.610	  0.511	      0.688	      0.261	 330.00	  0.00	
m60302c3r4.htb	  30.0	  0.03	 4.000	 -5.00	 -5.00	 60.00	   0.0	  0.00	 10.45	 99.00	  5.93	  8.19	  4.13	 0.419	 0.716	 0.00001998	 0.526	  0.346	      0.525	      0.120	 330.00	  0.00	
m60302c3r4.htb	  30.0	  0.03	 4.000	 -5.00	 -5.00	 60.00	   1.0	 316.80	  9.26	 92.40	  4.66	  7.90	  4.13	 0.475	 0.897	 0.00002423	 0.537	  0.357	      0.551	      0.127	 330.00	  0.00	
m60302c4r4.htb	  30.0	  0.03	 2.000	 -5.00	  0.00	 50.00	   0.0	  0.00	 24.48	 92.40	 13.86	 20.95	  8.71	 0.429	 0.673	 0.00000154	 0.569	  0.460	      1.101	      0.211	 330.00	  0.00	
m60302c4r4.htb	  30.0	  0.03	 2.000	 -5.00	  0.00	 50.00	   1.0	 214.50	 25.01	 95.70	 17.66	 22.18	  8.71	 0.287	 0.451	 0.00014031	 0.516	  0.363	      0.497	      0.132	 330.00	  0.00	
m60404c3r4.htb	   0.0	  0.03	 1.000	 10.00	 10.00	 40.00	   0.0	 201.30	  7.33	 92.40	  4.33	  5.76	  1.54	 0.408	 0.518	 0.08643389	 0.408	  0.464	      0.363	      0.215	 330.00	  0.00	
m60404c3r4.htb	   0.0	  0.03	 1.000	 10.00	 10.00	 40.00	   1.0	 122.10	  7.04	 59.40	  3.23	  5.66	  1.54	 0.539	 0.693	 0.00299891	 0.477	  0.449	      0.564	      0.201	 330.00	  0.00	
m60404c4r4.htb	   0.0	  0.03	 1.000	 10.00	  5.00	 40.00	   0.0	 214.50	 12.96	 115.50	  7.29	 10.17	  5.32	 0.427	 0.743	 0.00000164	 0.520	  0.415	      0.894	      0.172	 330.00	  0.00	
m60404c4r4.htb	   0.0	  0.03	 1.000	 10.00	  5.00	 40.00	   1.0	  0.00	 13.83	 115.50	  6.43	 10.26	  5.32	 0.529	 0.870	 0.00000000	 0.638	  0.337	      1.034	      0.114	 330.00	  0.00	
m60404c5r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 221.10	 16.33	 287.10	  8.20	 11.32	  5.19	 0.464	 0.730	 0.00000000	 0.634	  0.316	      0.939	      0.100	 330.00	  0.00	
m60404c5r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 237.60	 14.12	 95.70	  7.55	 10.89	  5.19	 0.460	 0.736	 0.00000058	 0.601	  0.339	      0.705	      0.115	 330.00	  0.00	
m60405c2r4.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 40.00	   0.0	 264.00	 18.89	 33.00	 11.34	 13.81	  8.16	 0.392	 0.704	 0.00000054	 0.558	  0.379	      0.796	      0.143	 330.00	  0.00	
m60405c2r4.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 40.00	   1.0	 254.10	 19.69	 23.10	  9.20	 14.30	  8.16	 0.496	 0.910	 0.00000000	 0.651	  0.340	      1.239	      0.116	 330.00	  0.00	
m60405c3r5.htb	 270.0	  0.03	 2.000	 -5.00	 -15.00	 40.00	   0.0	 267.30	 18.36	 125.40	  9.51	 12.49	  4.78	 0.471	 0.651	 0.00000000	 0.625	  0.356	      1.108	      0.127	 330.00	  0.00	
m60405c3r5.htb	 270.0	  0.03	 2.000	 -5.00	 -15.00	 40.00	   1.0	 267.30	 17.21	 26.40	  8.56	 12.53	  4.78	 0.500	 0.696	 0.00000000	 0.668	  0.304	      1.031	      0.093	 330.00	  0.00	
m60414c1r4.htb	 180.0	  0.05	 2.000	 -8.00	 -8.00	 50.00	   0.0	 247.50	  4.68	 306.90	  1.38	  2.66	  0.40	 0.670	 0.770	 0.01732257	 0.421	  0.503	      0.566	      0.253	 330.00	  0.00	
m60414c1r4.htb	 180.0	  0.05	 2.000	 -8.00	 -8.00	 50.00	   1.0	 267.30	  5.02	 313.50	  1.53	  3.04	  0.40	 0.570	 0.754	 0.00007971	 0.511	  0.383	      0.578	      0.146	 330.00	  0.00	
m60414c3r4.htb	 180.0	  0.05	 2.000	 -10.00	  0.00	 50.00	   0.0	 257.40	 28.08	 125.40	 16.66	 21.46	 14.05	 0.383	 0.814	 0.00000000	 0.621	  0.343	      0.928	      0.118	 330.00	  0.00	
m60414c3r4.htb	 180.0	  0.05	 2.000	 -10.00	  0.00	 50.00	   1.0	 257.40	 28.60	 135.30	 16.66	 22.49	 14.05	 0.369	 0.821	 0.00000001	 0.597	  0.372	      1.015	      0.138	 330.00	  0.00	
m60419c1r4.htb	 180.0	  0.03	 2.000	 10.00	  5.00	 50.00	   0.0	 330.00	 11.64	 237.60	  6.75	  8.84	  4.33	 0.419	 0.668	 0.06019542	 0.432	  0.517	      0.485	      0.268	 330.00	  0.00	
m60419c1r4.htb	 180.0	  0.03	 2.000	 10.00	  5.00	 50.00	   1.0	 16.50	 12.97	 191.40	  6.84	  9.60	  4.33	 0.414	 0.709	 0.00309262	 0.432	  0.518	      0.748	      0.268	 330.00	  0.00	
m60419c2r4.htb	 180.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 224.40	 17.32	 273.90	 13.07	 14.83	  9.55	 0.225	 0.547	 0.10573841	 0.373	  0.444	      0.318	      0.197	 330.00	  0.00	
m60419c2r4.htb	 180.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 23.10	 19.45	 293.70	 13.47	 15.54	  9.55	 0.294	 0.604	 0.04265535	 0.419	  0.470	      0.428	      0.221	 330.00	  0.00	
m60420c2r6.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   0.0	  0.00	 34.58	 79.20	 31.63	 32.98	 19.55	 0.082	 0.196	 0.02422152	 0.374	  0.208	      0.092	      0.043	 330.00	  0.00	
m60420c2r6.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   1.0	  0.00	 34.63	 46.20	 31.25	 32.65	 19.55	 0.091	 0.224	 0.52655218	 0.372	  0.234	      0.050	      0.055	 330.00	  0.00	
m60424c1r4.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 270.60	 19.72	 99.00	 13.09	 15.94	  0.05	 0.333	 0.337	 0.00000000	 0.566	  0.313	      0.730	      0.098	 330.00	  0.00	
m60424c1r4.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	  0.00	 24.08	 89.10	 15.18	 20.28	  0.05	 0.370	 0.370	 0.00000000	 0.708	  0.210	      0.587	      0.044	 330.00	  0.00	
m60424c2r4.htb	   0.0	  0.03	 2.000	  8.00	 -8.00	 40.00	   0.0	 267.30	 19.63	 320.10	  9.73	 13.22	  0.25	 0.485	 0.511	 0.00000001	 0.555	  0.502	      1.749	      0.252	 330.00	  0.00	
m60424c2r4.htb	   0.0	  0.03	 2.000	  8.00	 -8.00	 40.00	   1.0	 267.30	 21.44	 16.50	 13.53	 18.10	  0.25	 0.311	 0.373	 0.00253023	 0.437	  0.485	      0.672	      0.235	 330.00	  0.00	
m60515c4r4.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 254.10	  5.97	 118.80	  2.62	  4.73	  1.64	 0.543	 0.773	 0.00440971	 0.506	  0.398	      0.424	      0.158	 330.00	  0.00	
m60515c4r4.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   1.0	 240.90	  5.77	 56.10	  4.06	  4.88	  1.64	 0.293	 0.415	 0.26397390	 0.368	  0.354	      0.157	      0.125	 330.00	  0.00	
m60517c1r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 198.00	  8.02	 257.40	  4.55	  6.06	  2.44	 0.381	 0.621	 0.00199123	 0.432	  0.405	      0.481	      0.164	 330.00	  0.00	
m60517c1r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 211.20	  7.96	 92.40	  4.90	  6.65	  2.44	 0.381	 0.555	 0.00618381	 0.469	  0.359	      0.332	      0.129	 330.00	  0.00	
m60517c2r4.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 49.50	  5.51	 92.40	  3.57	  4.79	  0.65	 0.339	 0.400	 0.46425369	 0.336	  0.405	      0.162	      0.164	 330.00	  0.00	
m60517c2r4.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 330.00	  5.82	  0.00	  4.28	  4.78	  0.65	 0.265	 0.298	 0.76416547	 0.327	  0.393	      0.103	      0.154	 330.00	  0.00	
m60517c3r4.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 30.00	   0.0	 16.50	 17.54	 62.70	 12.71	 14.20	  3.43	 0.226	 0.342	 0.60306901	 0.327	  0.482	      0.195	      0.233	 330.00	  0.00	
m60517c3r4.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 30.00	   1.0	 79.20	 15.75	 313.50	 12.10	 14.11	  3.43	 0.188	 0.296	 0.15230300	 0.342	  0.390	      0.224	      0.152	 330.00	  0.00	
m60517c4r4.htb	   0.0	  0.03	 2.000	  5.00	 -8.00	 30.00	   0.0	 13.20	 29.50	 85.80	 22.97	 26.18	  5.29	 0.198	 0.270	 0.31418980	 0.366	  0.491	      0.284	      0.241	 330.00	  0.00	
m60517c4r4.htb	   0.0	  0.03	 2.000	  5.00	 -8.00	 30.00	   1.0	 316.80	 28.42	 214.50	 22.27	 25.33	  5.29	 0.182	 0.266	 0.70355965	 0.337	  0.516	      0.195	      0.266	 330.00	  0.00	
m60517c5r4.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 59.40	 21.84	 122.10	 16.23	 19.83	  2.49	 0.255	 0.290	 0.88377694	 0.264	  0.884	      0.409	      0.782	 330.00	  0.00	
m60517c5r4.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 26.40	 20.68	 138.60	 15.45	 18.10	  2.49	 0.236	 0.288	 0.93837089	 0.261	  0.797	      0.275	      0.635	 330.00	  0.00	
m60517c6r4.htb	   0.0	  0.03	 2.000	  8.00	 10.00	 40.00	   0.0	 207.90	 23.96	 95.70	 18.45	 21.64	  5.78	 0.226	 0.303	 0.22000850	 0.402	  0.437	      0.255	      0.191	 330.00	  0.00	
m60517c6r4.htb	   0.0	  0.03	 2.000	  8.00	 10.00	 40.00	   1.0	 320.10	 24.42	 250.80	 18.27	 21.03	  5.78	 0.227	 0.330	 0.03441699	 0.469	  0.335	      0.229	      0.112	 330.00	  0.00	
m60518c2r4.htb	   0.0	  0.03	 2.000	 -8.00	 -5.00	 40.00	   0.0	 72.60	 19.10	 310.20	 16.64	 18.08	  2.27	 0.113	 0.146	 0.91178362	 0.270	  0.351	      0.059	      0.123	 330.00	  0.00	
m60518c2r4.htb	   0.0	  0.03	 2.000	 -8.00	 -5.00	 40.00	   1.0	 240.90	 21.39	 303.60	 17.31	 18.91	  2.27	 0.190	 0.214	 0.27701299	 0.476	  0.254	      0.080	      0.064	 330.00	  0.00	
m60519c3r4.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   0.0	 13.20	 28.91	 270.60	 22.79	 26.40	  1.99	 0.202	 0.227	 0.06862834	 0.493	  0.294	      0.162	      0.087	 330.00	  0.00	
m60519c3r4.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   1.0	 211.20	 29.36	 310.20	 23.74	 27.31	  1.99	 0.176	 0.205	 0.29556117	 0.485	  0.262	      0.084	      0.068	 330.00	  0.00	
m60523c1r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 59.40	 11.49	 297.00	  7.86	  9.95	  3.63	 0.316	 0.462	 0.74358212	 0.312	  0.718	      0.357	      0.515	 330.00	  0.00	
m60523c1r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 13.20	 14.41	 300.30	  8.75	 10.99	  3.63	 0.351	 0.525	 0.46150351	 0.325	  0.715	      0.506	      0.512	 330.00	  0.00	
m60523c2r4.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 39.60	 29.67	 310.20	 23.82	 26.98	  9.70	 0.189	 0.293	 0.41725717	 0.309	  0.630	      0.412	      0.397	 330.00	  0.00	
m60523c2r4.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 99.00	 30.93	 151.80	 24.57	 28.32	  9.70	 0.199	 0.300	 0.44943999	 0.324	  0.643	      0.415	      0.414	 330.00	  0.00	
m60523c3r4.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 270.60	  5.72	 13.20	  3.99	  4.81	  2.99	 0.278	 0.631	 0.36164971	 0.335	  0.351	      0.136	      0.123	 330.00	  0.00	
m60523c3r4.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 244.20	  6.25	 151.80	  3.93	  5.34	  2.99	 0.368	 0.710	 0.18024166	 0.394	  0.397	      0.222	      0.158	 330.00	  0.00	
m60523c4r4.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 254.10	 26.15	 19.80	 16.16	 21.65	  9.45	 0.354	 0.598	 0.00000000	 0.618	  0.312	      0.878	      0.097	 330.00	  0.00	
m60523c4r4.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 270.60	 28.41	 26.40	 19.80	 23.01	  9.45	 0.303	 0.454	 0.00000025	 0.554	  0.356	      0.734	      0.126	 330.00	  0.00	
m60524c1r4.htb	   0.0	  0.03	 2.000	 -5.00	 -7.00	 30.00	   0.0	 66.00	  7.41	 310.20	  4.23	  6.41	  1.99	 0.378	 0.587	 0.47780709	 0.329	  0.590	      0.338	      0.348	 330.00	  0.00	
m60524c1r4.htb	   0.0	  0.03	 2.000	 -5.00	 -7.00	 30.00	   1.0	 26.40	  8.75	 323.40	  5.54	  7.03	  1.99	 0.360	 0.475	 0.52641665	 0.333	  0.563	      0.290	      0.316	 330.00	  0.00	
m60524c2r4.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 30.00	   0.0	 231.00	 13.62	 125.40	  8.53	 11.28	  1.19	 0.359	 0.410	 0.02077040	 0.415	  0.538	      0.630	      0.290	 330.00	  0.00	
m60524c2r4.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 30.00	   1.0	 247.50	 18.09	  9.90	  8.94	 13.83	  1.19	 0.440	 0.542	 0.00351815	 0.482	  0.580	      0.926	      0.336	 330.00	  0.00	
m60524c3r4.htb	 240.0	  0.03	 2.000	  0.00	  7.00	 30.00	   0.0	 178.20	  9.08	 214.50	  4.31	  6.60	  3.18	 0.500	 0.810	 0.24392604	 0.379	  0.728	      0.680	      0.530	 330.00	  0.00	
m60524c3r4.htb	 240.0	  0.03	 2.000	  0.00	  7.00	 30.00	   1.0	 330.00	 10.50	 240.90	  5.52	  7.43	  3.18	 0.474	 0.680	 0.30409327	 0.398	  0.742	      0.654	      0.551	 330.00	  0.00	
m60524c5r4.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   0.0	 214.50	 21.60	 99.00	 16.22	 18.61	  5.52	 0.234	 0.335	 0.48594566	 0.319	  0.682	      0.447	      0.465	 330.00	  0.00	
m60524c5r4.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   1.0	 23.10	 20.93	 125.40	 14.30	 17.23	  5.52	 0.309	 0.430	 0.33631581	 0.359	  0.670	      0.513	      0.449	 330.00	  0.00	
m60525c1r4.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 155.10	 11.68	 56.10	  5.12	  8.75	  0.40	 0.554	 0.581	 0.00000000	 0.606	  0.366	      1.292	      0.134	 330.00	  0.00	
