FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 ModIx	 DTI  	 AnovaP	 DDI  	 VarTerm	 MSgrp	 MSerror	 MaxX 	 MinX 	
m60112c1r2.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   0.0	 330.00	 24.88	 16.50	 16.94	 22.66	  5.47	 0.260	 0.409	 0.98342385	 0.381	  0.544	      0.081	      0.296	 330.00	  0.00	
m60112c1r2.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   1.0	 102.30	 24.47	 148.50	 19.07	 21.17	  5.47	 0.201	 0.284	 0.86082053	 0.414	  0.382	      0.077	      0.146	 330.00	  0.00	
m60112c2r3.htb	  30.0	  0.05	 2.000	  8.00	  5.00	 30.00	   0.0	 89.10	 25.59	 29.70	 18.52	 22.09	  8.73	 0.276	 0.419	 0.02279799	 0.480	  0.414	      0.371	      0.171	 330.00	  0.00	
m60112c2r3.htb	  30.0	  0.05	 2.000	  8.00	  5.00	 30.00	   1.0	 99.00	 25.50	 290.40	 18.69	 22.07	  8.73	 0.261	 0.406	 0.02052960	 0.433	  0.498	      0.546	      0.248	 330.00	  0.00	
m60117c1r3.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 30.00	   0.0	 267.30	 15.49	 316.80	  9.21	 11.69	  5.12	 0.387	 0.606	 0.02385446	 0.414	  0.597	      0.758	      0.356	 330.00	  0.00	
m60117c1r3.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 30.00	   1.0	 330.00	 15.72	 151.80	 10.75	 13.25	  5.12	 0.316	 0.469	 0.54229474	 0.371	  0.604	      0.328	      0.364	 330.00	  0.00	
m60119c1r6.htb	  30.0	  0.03	 6.000	  0.00	  0.00	 60.00	   0.0	 13.20	 14.09	 330.00	  6.57	  9.49	  5.22	 0.468	 0.848	 0.08822158	 0.491	  0.502	      0.443	      0.252	 330.00	  0.00	
m60119c1r6.htb	  30.0	  0.03	 6.000	  0.00	  0.00	 60.00	   1.0	 323.40	 12.55	 56.10	  7.69	  9.52	  5.22	 0.366	 0.664	 0.10175843	 0.470	  0.408	      0.281	      0.167	 330.00	  0.00	
m60119c2r7.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   0.0	 237.60	 22.22	 151.80	 13.48	 17.22	  5.26	 0.390	 0.515	 0.13019232	 0.471	  0.611	      0.586	      0.374	 330.00	  0.00	
m60119c2r7.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   1.0	 201.30	 23.19	 264.00	 14.64	 19.08	  5.26	 0.355	 0.477	 0.06703827	 0.437	  0.660	      0.800	      0.436	 330.00	  0.00	
m60124c1r2.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 50.00	   0.0	  0.00	 13.10	 287.10	  6.89	  9.02	  2.70	 0.456	 0.597	 0.05468109	 0.487	  0.549	      0.578	      0.301	 330.00	  0.00	
m60124c1r2.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 50.00	   1.0	 16.50	 12.28	 108.90	  6.67	  8.83	  2.70	 0.400	 0.586	 0.03363476	 0.453	  0.457	      0.440	      0.209	 330.00	  0.00	
m60124c2r4.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 82.50	  3.86	 306.90	  1.85	  2.72	  2.57	 0.500	 1.560	 0.39582623	 0.407	  0.457	      0.226	      0.209	 330.00	  0.00	
m60124c2r4.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 46.20	  5.02	 211.20	  1.74	  3.07	  2.57	 0.635	 1.338	 0.05925254	 0.484	  0.472	      0.429	      0.222	 330.00	  0.00	
m60124c3r5.htb	 100.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	  9.90	 19.51	 247.50	  8.29	 13.18	  6.67	 0.530	 0.874	 0.00000002	 0.673	  0.328	      1.054	      0.108	 330.00	  0.00	
m60124c3r5.htb	 100.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	  9.90	 22.65	 66.00	  6.38	 12.71	  6.67	 0.684	 1.018	 0.00000000	 0.737	  0.367	      1.540	      0.135	 330.00	  0.00	
m60124c4r3.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   0.0	  6.60	  8.58	 270.60	  2.74	  4.86	  1.00	 0.676	 0.770	 0.65779013	 0.423	  1.105	      0.952	      1.221	 330.00	  0.00	
m60124c4r3.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   1.0	  3.30	 11.72	 211.20	  2.86	  6.09	  1.00	 0.754	 0.826	 0.79820151	 0.416	  1.287	      1.031	      1.656	 330.00	  0.00	
m60124c5r2.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 70.00	   0.0	 16.50	 16.56	 303.60	  9.21	 12.67	  7.84	 0.418	 0.843	 0.05827723	 0.474	  0.521	      0.506	      0.271	 330.00	  0.00	
m60124c5r2.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 70.00	   1.0	 178.20	 14.51	 102.30	  9.87	 12.19	  7.84	 0.299	 0.695	 0.24913780	 0.414	  0.475	      0.290	      0.225	 330.00	  0.00	
